,dataSet,accuracy_df,accuracy_rf,f1_df,f1_rf,precision_df,precision_rf,classes_type,data_std,time_cost,feature_num,data_num
88,kr-vs-kp,0.9915512519561815,0.9899887519561815,0.9915514113672728,0.9899880056676675,0.991640052254495,0.9900494280651543,2,0.02221526908635796,9.702084064483643,37,3196
89,krkopt,0.85796275974047,0.8296621492275446,0.857675567604851,0.829309578811894,0.858434746076103,0.8315969135194342,18,0.05206741359580048,155.51725792884827,7,28056
90,labor,0.9651515151515152,0.9136363636363637,0.9645754245754246,0.9110921689249863,0.9702020202020203,0.9314177489177489,2,0.14912280701754388,3.129863977432251,17,57
91,led24,0.723125,0.7184375,0.7226055235775054,0.7171632810475483,0.7266224789540943,0.7207009256165462,10,0.00411978837441925,21.39609384536743,25,3200
92,led7,0.7346875,0.7318749999999999,0.7338806070699384,0.7310560709821393,0.7433592564749739,0.7408967502542853,10,0.006267163931955186,17.950814962387085,8,3200
93,letter,0.96915,0.9642,0.9691739415508721,0.9642617003703002,0.9696203559019978,0.9647511233703794,26,0.0011362309228581885,105.45788788795471,17,20000
94,liver-disorder,0.727536231884058,0.7130434782608696,0.7217149077545356,0.7101690033277446,0.7289015949814452,0.7125059893423484,2,0.07971014492753625,3.972654104232788,7,345
95,lupus,0.7019607843137255,0.6993464052287581,0.7032633521636078,0.7068226331781318,0.7483769824946295,0.7553901000959824,2,0.09770114942528738,4.399554014205933,4,87
96,lymphography,0.8105747126436782,0.8108045977011494,0.8073905792201937,0.8071058172461264,0.8360892494929006,0.8243687326990413,4,0.23469397882376222,3.5592730045318604,19,148
97,magic,0.8815983175604627,0.8795478443743427,0.8793234870806934,0.8774855189235561,0.8818916985492621,0.8793714218144106,2,0.14837013669821242,111.09634375572205,11,19020
98,mfeat-factors,0.9675,0.968,0.9675658681046144,0.9681381226059227,0.9686895586504971,0.9695947561348129,10,0.0,23.895956993103027,217,2000
99,mfeat-fourier,0.8344999999999999,0.8315000000000001,0.8339554195861438,0.8308536741494784,0.8405899416590346,0.8356716919695198,10,0.0,35.922807931900024,77,2000
100,mfeat-karhunen,0.966,0.961,0.9659564977347224,0.9609549872844696,0.9670012590817834,0.9624268569959634,10,0.0,22.717277765274048,65,2000
101,mfeat-morphological,0.78,0.7045,0.7784883415820417,0.7033515244137656,0.7830955324101158,0.7092179690269761,10,0.0,13.839756965637207,7,2000
